"PID";"Original tittel"
"98F28145-1683-4874-AD77-0883123F98DC";"Konrad Theiss Verlag"
"9DBCEF16-8F7D-4815-A084-089234F44B41";"Yale Climate Connections"
"AA248F3C-9CEE-4ED5-BAC7-08ADBCD19F87";"Edizioni di Pagina"
"3B7DBD75-C1BA-4EAF-9E6F-08B93DDF136A";"Helse- og omsorgsdepartementet"
"A6CFF345-A462-4082-9055-08CC72BD03F9";"Bibliopolis, Edizioni di Filosofia e Scienze"
"15E37C44-43D3-4765-87F6-08D3B1A84408";"European Association for Machine Translation (EAMT)"
"5AF020A1-89ED-42C4-8B5A-08DD4CAA1027";"Gorodets"
"DBA43FBB-1B4E-4D88-9263-08DF76475909";"Ehrenpreis Center for Swift Studies"
"E7617977-0029-4BE1-B920-08E714FF9552";"Schuman Papers (Foundation Robert Schuman)"
"D5B11E04-0013-40AA-944F-08F62DD32672";"Økologisk24"
"AE24A4FA-80A6-43E7-B549-093CC69A5838";"Presses des Ponts"
"6AD1B50B-5AB8-4F39-9876-0946876E2B11";"VoxUkraine"
"D9A1494B-A9CB-4BF3-946B-0948A46C5C50";"Acoustical Society of America (ASA)"
"D7427DF2-5084-4020-90DB-094F81032B4B";"Forlaget ANIS"
"D3FD40E7-EA0C-4613-8E51-0952B6902157";"Edicions Bellaterra"
"13EE7EE6-DB78-4959-A6F4-095EEEE8908D";"Statens vegvesen"
"FB93193B-F3D0-40DF-91A9-0963E9F1D4EA";"Arbeids- og inkluderingsdepartementet"
"307A32BC-FA27-460B-A4EE-0968A7104CA6";"Wydawnictwo Uniwersytetu Lodzkiego"
"B1C2A7A2-C353-49AC-A9FF-0968DBC110A6";"Stroemfeld Verlag"
"AD99A6A4-535C-4564-BD19-09A3BB44E3AB";"PRIO Blogg"
"FC1ACAF3-C08D-487C-89C5-09B3102809B4";"AuthorHouse"
"1D7FD681-43C3-4159-9BDB-09C5D54D1FF0";"Karolinum"
"B8E8F32E-F54A-4B09-B590-0A1AC72E9685";"Norvik Press"
"90FFA1A7-487D-4CAD-813E-0A1EB5DD3CEF";"Berghahn Books"
"861EEBD2-302B-4FB5-9998-0A2FC1CBDB85";"Presses des Mines"
"FB2E0939-1968-4171-8667-0A4D48C90581";"Suomen Itämainen Seura"
"157438CA-6819-46E0-B39F-0A62799A6EBB";"Freidrich-Ebert-Stiftung"
"DB4483D5-7FED-46F1-BDC1-0A685A3E3914";"Labyrinth Press"
"B33C2B81-1C3D-4E1A-974F-0A86F32DABBA";"Kunst- og designhøgskolen i Bergen"
"9FB19C25-EFE7-407F-A47B-0A871158DD68";"Metropolis Verlag für Ökonomie, Gesellscahft und Politik GmbH"
"39FC14F1-922D-4532-8EF0-0A8C79D4B812";"Sabima kartleggingsnotat"
"6DA80E76-97C0-4DC9-93E7-0A8D6B41B454";"IntechOpen"
"A7981263-0CE1-41DA-910A-0A9317081DDC";"ERR News"
"8819356F-70AA-4973-8365-0AAFCA0EBA12";"CGL Centre of Garden Art and Landscape Architecture"
"584CB046-7196-4E1D-B2DB-0AC2B3A7FB5E";"Giuffrè Francis Lefebvre"
"271B8CB1-0E27-4F3D-A627-0AD3A71151E1";"Fiskeridirektoratets havforskningsinstitutt"
"FBA6AE50-35A7-4B6F-9EB7-0AE9046CBCB1";"WTM Verlag"
"884FD1CD-8497-4032-8620-0B31309D7990";"New York Academy of Sciences"
"693FCB10-AD68-4D74-8C04-0B45075C5B50";"Research Signpost"
"518FCBD5-86FF-4846-A167-0B4FA828CE46";"Klima- og forurensningsdirektoratet"
"7909647C-C011-4809-8B21-0B50ED0C8FC2";"Transaction Periodicals Consortium"
"1CF5C39A-68B2-422F-AD5C-0B53CE3A5E4A";"Palmenia Centre for Continuing Education"
"FF0DD854-3151-404F-B01C-0B5843E9AFAB";"Collège de France"
"D00EF396-8831-4331-AA7D-0B689DD32F74";"SAGE Open"
"7F308068-A722-4C6A-8E75-0B8C49E098F0";"Susquehanna University"
"B1F6251D-717B-42E4-BB80-0B960690A6C3";"Institut National de Recherche Pedagogique"
"2B38F065-B3E6-4061-9F0C-0BA1287EEAFF";"Aalborg Universitetsforlag"
"F89ED6CD-69CD-4A46-83B5-0BA8B3F9F244";"Les Presses de l'Université d'Ottawa"
"939B3F42-1D03-4BED-A4BD-0BB2FE6145FE";"Lakehead University Press"
"2DCBBDED-2AB1-4036-BA65-0BBB1B2BE3FB";"Iwanami Shoten"
"EF64297A-C17E-4797-8F22-0BC023C39130";"La Sociedad de Etnomusicología (SIbE)"
"805109B3-2FCE-4B9C-BD33-0BCA9071E445";"European Academy of Wind Energy"
"B4C86DBB-4A7F-4123-879D-0BD2F9BD07D9";"LIR.Skrifter"
"C21AD72E-F8F6-4C88-B2C1-0BF225519F30";"Intergovernmental Science-Policy Platform on Biodiversity and Ecosystem Services (IPBES)"
"6AED21C7-9024-4245-9F8C-0BFDB7EA90FA";"International Pragmatics Association (IPrA)"
"7AE99422-1C0B-4002-8BCF-0C0B4C21B9A1";"Makadam Förlag"
"0EB675DC-906D-4901-8D8E-0C6BE30339D4";"Western Washington State College"
"A7D3675E-75B1-458F-A247-0C7CA88B1A49";"Bokförlaget Atlantis"
"9C3AFFD4-9413-4109-B7BA-0C829F2C3F71";"Shanghai Translation Publishing House"
"2077EBB2-71BF-4919-87F3-0C8A8E1CD532";"SINTEF Industri"
"72E5B8BF-D0F7-4D58-AD3E-0C9B8901A1FF";"OECD Publishing"
"6DC37740-35CB-46AF-9E60-0CBC07F9A9FC";"Conference on Assembly Technologies & Systems (CIRP)"
"FBC608C0-B46B-4765-8160-0CCC21B5AAE8";"The University of Utah Press"
"41E702D1-6EC3-4D04-A270-0CDF359942DA";"Dinamo Forlag"
"CA07D4DB-FDC8-4871-8162-0CEC8895ADC9";"ACTA Press"
"DCA76D66-0F4E-47FD-82D1-0CEFF77F10C5";"Vidarforlaget AS"
"18B1939B-EB63-4DEC-9DED-0CF445D121DD";"Einaudi"
"EB98C63C-1A51-452F-8DFB-0CF77BC10826";"Edições Cosmos"
"F6206FD7-D989-48AF-A369-0D1A77486A12";"Kvinnehistorie.no _Kilden kjønnsforskning"
"0C2488BF-F384-453C-823E-0D21D600FEE1";"Lamy, Wolters Kluwer"
"DA4C3C33-C5B1-4024-A9D8-0D25D5D876E5";"NACE International"
"5F219050-78BE-4C31-8483-0D341A364045";"Instytut Literatury- Wydawnictwo"
"4CB29E91-5A72-4610-B08C-0D3555D1F539";"Academia Verlag"
"D0C69FFA-9039-4E53-9922-0D43521E9FC0";"Shaker Media"
"44E84C0F-A6ED-47BD-81FA-0D4DB7B59476";"Toronto South Asian Review"
"1708042F-EA90-4CFD-8910-0D5082201C98";"VGE Verlag GmbH"
"97E5A93F-3247-48B8-A42E-0D75901AFA33";"Proceedings of the International Seminar on Fire and Explosion Hazards"
"37DB11A6-94AD-41F8-8BE8-0D7991642958";"Air University Press"
"4FB5974F-709F-4C1F-AD44-0D91E0984A08";"Analytic Press"
"B9A6CEBD-1D47-4925-AB55-0DB28DD092A4";"Museumsforlaget AS"
"44FCCAF7-2A8B-4F35-AB01-0DBFAB6919C0";"Flux forlag"
"D84BD0B5-1900-421D-9541-0DCD76E66372";"Institute of Geography"
"52C3AF52-C201-4BD1-A892-0DD0FC58F73A";"Findlay Publications"
"98E3CEA0-402E-4F59-81E6-0DD80E3FBD4E";"Imprensa Nacional - Casa da Moeda"
"F32C5461-0848-48EE-8B07-0DF0AE7DA702";"TU Delft OPEN Publishing"
"4846DDE9-7A4D-4BF8-8B8C-0DF9C977FA5E";"Alpha Science"
"BCCBB3B1-D755-4F38-BBCF-0E19B4A7B37B";"Orfeus Forlag"
"C72DB033-E00E-441D-8EE3-0E443CC46FB1";"Manohar Publishers & Distributors"
"B4FB99A7-715E-4DC8-A3C9-0E558400FD0E";"The American Ceramic Society"
"5C40038C-EA4A-4743-B228-0E57F80E559F";"The University of Akron Press"
"589FBD0B-3EAC-4839-AA9A-0E7090718DCC";"Humanity Books"
"CDFD6C36-C585-4A54-AE92-0E786920F573";"University of Montenegro"
"36439D01-4D16-40C3-A3CC-0EACF86EF86C";"Wydawnictwo Uniwersytetu Śląskiego"
"AF22E477-B4C4-4FE1-8693-0EEB806A23E3";"Rüdiger Köppe Verlag"
"DDFCE494-88D2-45B9-B2CF-0F1A1EB10844";"Norges idrettsforbund"
"B286E614-D006-4858-A2EB-0F1FE3073D7D";"Sall Data"
"144754DD-624D-4ED8-ABB6-0F31511CB4F3";"Society of Economic Geologists"
"3EAC10F5-A918-4100-9285-0F47C5A57DD9";"MayFlyBooks"
"32BF3242-8E32-4C76-959E-0F4AB990D1B8";"Godage International Publisher"
"E77DEAC0-30FE-4144-AA2B-0F619C4C08FE";"Severnaja zvezda"
"5683FC4B-F066-4D68-A142-0F68D5B2FE28";"FOFO"
"A6CBF851-F0D4-4BD3-8BD6-0F70D026EB24";"Asanger Verlag"
"C4E6CF14-096E-436D-B2CA-0F833ECDC0B6";"Society of Petroleum Engineers"
"FF4EFC52-1D53-44A2-94E9-0F8D112D7E12";"Garant"
"A3CBE2B5-7774-405F-85B9-0F9BC9032D5C";"Arnold Schönberg Center"
"1DB48255-D41B-4265-8984-0F9D502E288A";"Norsk Regnesentral"
"700DFA88-2C88-4B00-B9DD-0FB4A7C50A7B";"SINTEF Manufacturing AS"
"A8DE4FC4-3CC2-4583-A905-0FBEC765E05D";"VAS Verlag für Akademische Schriften"
"73CB84AA-4F98-4A60-B661-0FC8D469936D";"Scritturapura Editore"
"CC155335-4F3B-4B6C-A6C9-0FD5F27C3F9F";"Vastapaino"
"ADC58E76-1A66-466F-AF23-0FE0B0D42147";"Promocult"
"ED9F5AF5-343E-4427-B265-0FE2920F8524";"Uniwersytetu Jagiellońskiego"
"8D2E383B-4EB0-4746-886B-0FE965276B96";"A&C Black Publishers Ltd."
"0CD10E87-B243-4DE5-95A7-0FEF4C1DF36F";"Geographica Bernensia"
"8993B03C-BB0E-42C7-9122-0FF2B65CF55F";"Vernepleieren i Delta"
"275331F3-0567-4953-81D1-0FFC47CF3ACF";"Századvég Kiadó"
"D6AD83A1-5812-47E7-B7F3-1045CCCEB501";"Vittorio Klostermann Verlag"
"D8CA92FE-AA1D-464D-BE17-1048F7688346";"Dialogos Förlag"
"ECBD969B-036F-4002-B3A6-1053D3B72450";"Forlaget HEXIS"
"A9E5AB22-04E0-4603-A5E4-1082C8D15B09";"Bergin & Garvey"
"F422D740-7D3E-44A4-B370-1087E91909A3";"Editorial Verbo"
"E30A6C32-95D9-4028-B84F-109300597F4F";"INSTICC (Institute for Systems and Technologies of Information, Control and Communication)"
"6AF0B790-8A23-4F29-B660-10A71968EDC1";"Verlag Anton Saurwein"
"2DA782ED-7667-4E27-9BBE-10AB527F6546";"Teknisk ukeblad media"
"A7DAE1F4-4ADB-413E-851D-10AFBD261C0D";"London School of Economics US American Politics and Policy Blog"
"F2255C10-86E5-48EA-A190-10D884C1A0A2";"Edizioni Ca'Foscari: Filologie medievali e moderne"
"ABD1CD7E-9213-4277-A619-11126B9F0D75";"My Way Press"
"2F89F5D8-FFD1-4C40-AB61-11450A0A6E09";"Pisa University Press"
"B1FAE4FB-9DC6-4D29-82F7-1157F0D507E2";"SINTEF Ålesund AS"
"7D6708B0-D656-4DA4-ADB5-1163651CA3D9";"Editorial Verbo Divino"
"41E4DA94-1E8C-4838-8E92-11689CFE3913";"Norsk institutt for vannforskning"
"5DC7B1F9-ED20-49B9-989F-116DE50A959C";"Language and Literature Press"
"D25D09CF-DD49-4CA6-8390-118FB35F8B96";"Nashboro Press, Ltd."
"7BEC1C4B-1A0A-4B5A-B836-119A880A48D4";"Information Age Publishing"
"A6D53C66-3201-4D82-93B6-11C14F779CD1";"Samfunns- og næringslivsforskning (SNF)"
"7248DFEA-1CF1-42FA-B8F1-11D3AB83BCEF";"Vitenskapskomiteen for mat og miljø"
"4DC42A85-7353-4A3B-B3D5-11D437415F94";"Psykologisk Forlag"
"E748204C-A214-4ACD-BBA1-11DD404CEABA";"Ediciones Universidad de Navarra SA"
"55C93351-A6DB-4AE5-97D2-11E7EDE217F8";"Minerva Shobou"
"27C4ADFE-971B-4687-98FF-11EEDA3081A2";"industriaspesquera"
"A27BBE8C-1CC1-4D27-9B8D-11FE12D2E09F";"SUNY Press"
"5ECAA776-6E1D-4073-A421-12071D3CC942";"Osuuskunta Jyväs-Ainola"
"42104AE8-93F3-45BC-A3E4-1209EF251A8C";"Humana Press"
"A4B37B61-0D9C-4EA2-BB9F-120CD016117E";"Dansklærerforeningen"
"4099017F-BFFD-4B20-BB54-1216CC66E846";"NTNU HumSam Blog"
"2C18C738-CA05-45D5-89AA-121C9068E587";"International Wolf"
"E7FBF122-DF12-4109-9FE0-12489980A7A8";"The International Commission on Illumination"
"A1661AED-2C5F-432B-9AE9-12738B93D2EB";"Lage Landen Studies"
"1800DED2-2D1D-4869-9747-12862BAA5FD1";"Schwabe Verlag"
"34293A82-69B2-4129-AD85-129DE54551DB";"Rubbettino"
"5A3422D4-58D0-4E90-850D-12AB867C8A34";"Acta Graphica Publishers"
"C502042B-C5A0-4977-8615-12C295855775";"DAT os"
"3D30AFF5-40A0-466B-86EF-12CF8C3BCC45";"North Eastern Linguistic Society"
"17E839AD-EAFA-4BEC-B1BB-12D345E285EB";"City University of Hong Kong Press"
"87DF8CEF-BE47-4BE9-A6D8-12EDEFA1A856";"U Press"
"80B3DD87-5AB1-4739-8333-12F673D77574";"Bokförlaget h:ström - Text & Kultur"
"BB0A0E1B-30AA-4F10-B5ED-1300D568EDCF";"Ediciones Doyma"
"07F84EB1-58BC-4F7A-8FA1-130E6688906C";"Barratt Due musikkinstitutt"
"375994F9-24A3-47F9-8471-131ED41AECB8";"Luther Forlag"
"9DFA9363-BF9D-4967-BAC1-133475E9DEB1";"Leuven University Press"
"09EC0A6F-96F5-4462-9E74-1344AE801490";"Norges Handelshøyskole"
"888D46AA-23EF-4D47-9A7B-134B6F552F8A";"STERF Research and Development Yearbook"
"95BE0331-70FC-48CC-AFD4-13665D1201E7";"Jordforsk-nytt"
"074A534C-9368-4FA4-B170-1389EF59DA8D";"Centro de História da Sociedade e da Cultura"
"668C52C2-182F-4254-85C5-139E8B2B2744";"CISCL"
"B82E0799-BA73-4765-A3A1-13F28105D570";"Research Media"
"03A4E4F8-71D7-4FD9-89B9-14039E73F48E";"Whurr Publishers"
"119DDE0C-6124-4D96-9EDD-1404D31ED0B4";"Haraldsplass Diakonale Sykehus"
"28EBF583-D537-4D24-BABB-1428632233AA";"Genueve Ediciones"
"C4D6E76D-EF6E-4F7C-A6D7-1442DC29AEDE";"jop.blogs.uni-hamburg.de"
"BEAD8089-F13B-412E-8596-145B83277F37";"Editura Universitatii de Vest din Timisoara / University of the West Timisoara Publishing House"
"5FCC49A2-A7CA-4EE7-8070-14619C6BD44C";"Presses Universitaires de Namur"
"629F37CD-A839-4569-9046-146A275653CD";"Drukarnia Cyfrowa - Poligrafia Malopolska"
"F49F1C08-7685-44D4-B2E7-147545B82E85";"State Library of Victoria Foundation"
"E4CE1766-BBC6-4D24-96A7-14869BB4B6F6";"Progressive Frontiers Press"
"6C7E4F82-399E-44D5-9767-148A26F36D35";"Carabela"
"143EA9B4-5171-47BA-BEA7-1499EE998DB8";"GAN forlag"
